Competency	Level1	Level2	ValidationMethod	KnowledgeSource	PolicySource	UpdateNote
Casting Equipment Preparation and Set Up - OR	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Cast Application	Skin and Wound Care	Patient Positioning - Immobilization				Cast Application Word Document Updated July 2024
Cast Removal	Skin and Wound Care	Patient Positioning - Immobilization				Cast Removal Word Document Updated July 2024
Infant Positioning	Skin and Wound Care	Patient Positioning - Immobilization				
Kangaroo Care Standing Transfer	Skin and Wound Care	Patient Positioning - Immobilization				
Kangaroo Care – Sitting Transfer	Skin and Wound Care	Patient Positioning - Immobilization				
OB Positioning - L&D	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
OR Positioning	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			OR Positioning Word Document Updated 6-2019
Patient Positioning - Allen/Yellowfin Stirrups	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Patient Positioning - Candy Cane Stirrups	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Patient Positioning - Orthopedic Procedures	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Hare Traction	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Hare Traction Word Document Updated 4/2019
Pneumatic AntiShock Garment (PASG)	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Traction	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Traction Word Document Updated 9-2018
Traction - LF	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
Continuous Passive Motion	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Continuous Passive Motion Word Document Updated 9-2018
Knee Immobilizer	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Knee Immobilizer Word Document Updated 9-2018
Lateral Transfer	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Lateral Transfer Word Document Updated 9/2017
Crutches - Fitting and Walking	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Crutches - Fitting and Walking Word Document Updated
Splinting	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Splinting Word Document
Walker/Crutches	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			Walker/Crutches Word Document Updated 9-2018
Diapering - ICN	Skin and Wound Care	Skin Care	Validated by Observation of Behavior			
Isolette Bath - ICN	Skin and Wound Care	Skin Care				
Tub Bath - ICN	Skin and Wound Care	Skin Care				
Ostomy Care	Skin and Wound Care	Skin Care	Validated by Observation of Behavior			Ostomy Care Word Document Updated 4/2017
Duke Boot - Multilayer Compression Wrap	Skin and Wound Care	Wound Care				
Elastic Bandages - Ace Wrap	Skin and Wound Care	Wound Care				
Leech Therapy	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Leech Therapy Word Document Updated 4/2017
Incision Care - Ambulatory	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Incision Care - Ambulatory Word Document Updated 3-2020
Negative Pressure Wound Therapy (NPWT)	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Negative Pressure Wound Therapy (NPWT) Word Document Updated 4/2017
Initiates Negative Pressure Wound Therapy (NPWT) - OR	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			
Initiates Negative Pressure Wound Therapy (NPWT) - OR - ASC	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			
Negative Pressure Wound Therapy (NPWT) - PACU	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			
Negative Pressure Wound Therapy (NPWT) - Dressing Change	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			NPWT-Dressing Change Word Document Updated 1-2020
Wound Care	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Wound Care Word Document Updated 4/2017
Wound Care - Ambulatory	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			
Wound Management Device	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Wound Management Device Word Document Updated 4/2017
Staple Removal	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Staple Removal Word Document Upfated 4/2017
Suture Removal	Skin and Wound Care	Wound Care	Validated by Observation of Behavior			Suture Removal Word Document
